codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
14668,GRIFOS EL INCA S.A.C.,20100844312,AV. MILITAR CUADRA 15 S/N,LINCE,61
14682,REPSOL COMERCIAL S.A.C.,20503840121,AV. JAVIER PRADO ESTE N° 5313 CON AV. LOS FRUTALES,LA MOLINA,1464
14687,INVERSIONES SANTISIMA TRINIDAD S.A.C.,20508778849,AUTOPISTA VENTANILLA MZA. G LT. 100 LEONCIO PRADO,PUENTE PIEDRA,117
14691,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. JOSE GALVEZ BARRENECHEA ESQ. CON LA CALLE 32,SAN BORJA,720
14693,REPSOL COMERCIAL S.A.C.,20503840121,AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,SAN ISIDRO,637
14693,REPSOL COMERCIAL S.A.C. - ( TIKY TOO ),20503840121,AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,SAN ISIDRO,1158
14706,ESTACION PETROGAS CAMPOY S.A.C.,20565685652,AV. LA PRINCIPAL (ANTES AV. CAMPOY) MZ. B LOTE 5,SAN JUAN DE LURIGANCHO,438
14711,FIDEL SULLCA HUAMAN,10082873568,AV.FRATERNIDAD MZ. K LOTES 7 Y 8 AA.HH. ENRIQUE MONTENEGRO,SAN JUAN DE LURIGANCHO,105
14715,MIDAS GAS S.A.,20304887762,AV. NICOLAS ARRIOLA N° 3191,SAN LUIS,656
14722,GRIFO SERVITOR S.A.,20334129595,AV. ALFREDO MENDIOLA N° 1395 - URB. LA MILLA,SAN MARTIN DE PORRES,1113
14723,"EMPRESA DE SERVICIOS, COMERCIALIZACION E IMPORTACION DE REPUESTOS S.A. (ESCIRSA)",20251597562,AV. CARLOS IZAGUIRRE S/N (EX-FUNDO SNATA ROSA),SAN MARTIN DE PORRES,12
14725,K.Y.T. S.A.C,20111629758,AV. PERU N° 3207 ANTES ESQUINA DE CAMANA CON AV. PERU,SAN MARTIN DE PORRES,24
14725,KYT S.A.C,20111629758,AV. PERU N° 3207 ANTES ESQUINA DE CAMANA CON AV. PERU,SAN MARTIN DE PORRES,128
14742,GRIFOS LA TUNA S.A.C.,20379074996,ESQUINA AV. AYACUCHO CON LA AV. PROLONGACION TOMAS MARSANO,SANTIAGO DE SURCO,698
14754,KEMALU S.A.C.,20265988777,AV. ANGAMOS ESTE 2398 URB. LA CALERA DE LA MERCED,SURQUILLO,517
14756,GRIFO PEDRO MARIO E.I.R.L.,20385368004,"SUB-LOTE 10A, MZ. 207 SECTOR VALLECITO ALTO - AA.HH. J.C. MARIATEGUI",VILLA MARIA DEL TRIUNFO,24
14758,E & A INVERSIONES S.A.,20292832223,AV. PACHACUTEC N° 5955,VILLA MARIA DEL TRIUNFO,1131
14872,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. JOSE CARLOS MARIATEGUI, ESQ. AV. REVOLUCION. SECTOR 3 GRUPO 15 MZ. A, LTS. 12 Y 13",VILLA EL SALVADOR,364
15206,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,20511230935,AV. BRASIL N° 699,JESUS MARIA,469
15207,COESTI S.A.,20127765279,ESQ. DE LA AV. SAN LUIS N° 2605 CON SAN BORJA SUR,SAN BORJA,665
15215,REPSOL COMERCIAL S.A.C,20503840121,AV. 28 DE JULIO N° 904,MIRAFLORES,1487
15219,JAIME OLIVER S.A.C.,20516649578,ESQUINA AV. SALAVERRY Y AV. CUBA,JESUS MARIA,374
15223,JAIME OLIVER S.A.C.,20516649578,AV. SALAVERRY ESQ. AV. MARIATEGUI,JESUS MARIA,422
15233,SUCESION INDIVISA CUBAS CUBAS HECTOR FELIX,10085544557,"MZ. 2-A , LOTES 1 Y 1A,  URBANIZACION PERU PRIMERA ZONA",SAN MARTIN DE PORRES,209
