codificador,codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n,bandera,glp,gnv,llanteria,islas_comb_liq,mecanico,aceite,lavado,tienda,cajero,en_avenida_principal,coordenadas,revisar
,21054,COESTI S.A.,20127765279,"AV. SANTIAGO DE SURCO N° 3291, ESQUINA CON LOS ALAMOS LOTES 4 Y 5",SANTIAGO DE SURCO,2153,,,,,,,,,,,,,
,21397,NESTOR SALCEDO GUEVARA,10090647879,CARRETERA CENTRAL KM. 16.50,ATE,2152,,,,,,,,,,,,,
,7086,REPSOL COMERCIAL S.A.C.,20503840121,AV. PROLONGACION PRIMAVERA Nº 1120 MZ. P LOTES 1 Y 2,SANTIAGO DE SURCO,2143,,,,,,,,,,,,,
MC,21052,COESTI S.A.,20127765279,AV. MARISCAL OSCAR R. BENAVIDES Nº 871 (ANTES: AV. COLONIAL ESQ. AV. TINGO MARIA),LIMA,2138,Primax,2,6,0,6,0,1,0,1,1,si,"-12.047858, -77.053644",
,14648,COESTI S.A.,20127765279,"AV. MELGAREJO, ESQ. CON LA AV. UNIVERSIDAD",LA MOLINA,2137,,,,,,,,,,,,,
DUC,9329,SERVICENTRO LA ALAMEDA S.A.C.,20337657037,AV. ALAMEDA SUR  ESQ. ON CALLE LOS KEROS  MZ. Q LTE. 11  URB. SAN JUAN BAUTISTA DE VILLA,CHORRILLOS,1182,Pecsa,0,0,1,8,0,1,1,1,1,0,"-12.194999, -77.009416",
,14682,REPSOL COMERCIAL S.A.C.,20503840121,AV. JAVIER PRADO ESTE N° 5313 CON AV. LOS FRUTALES,LA MOLINA,2122,,,,,,,,,,,,,
,9423,COESTI S.A.,20127765279,AV. MARISCAL CASTILLA N° 905,SANTIAGO DE SURCO,2116,,,,,,,,,,,,,
VM,18869,SERVICENTRO Y AFINES LAS AMERICAS E.I.R.L.,20347869849,AV. LAS AMERICAS ESQUINA AV. PARINACOCHAS N° 1683,LA VICTORIA,2109,PetroPeru,2,0,0,8,0,0,0,0,0,1,"-12.075838, -77.016528",
,8054,PETROCENTRO UNIVERSITARIO S.A.C.,20177064972,"AV. UNIVERSITARIA NORTE MZ. C LOTE 1, URB RESIDENCIAL COMERCIAL LOS OLIVOS",LOS OLIVOS,2106,,,,,,,,,,,,,
,14758,E & A INVERSIONES S.A.,20292832223,AV. PACHACUTEC N° 5955,VILLA MARIA DEL TRIUNFO,2103,,,,,,,,,,,,,
DUC,7124,COESTI S.A.,20127765279,AV. TOMAS MARSANO N° 1008 ESQUINA CON AV. ANGAMOS,SURQUILLO,2905,Primax,2,6,0,6,0,0,0,1,1,1,"-12.112792, -77.012339",
,6749,GRIFOS ESPINOZA S.A.,20100111838,"AV. ALFREDO MENDIOLA N° 3550, ESQ. AV. PABLO OLAVIDE (PANAMERICANA NORTE KM. 15.2)",INDEPENDENCIA,2083,,,,,,,,,,,,,
DUC,9477,SERVICENTRO TACALA S.R.L.,20502081331,AV.EL SOL S/N ENTRE L.LAURELES/L.NOGALES PBLO JOVEN TACALA,CHORRILLOS,261,Independiente,0,0,0,4,0,0,0,0,0,0,"-12.187033, -76.989289",
DUC,8887,ESTACION DE SERVICIOS MASUR S.A.C.,20493143612,AV. REPUBLICA DE PANAMA 4361-4395 ESQUINA CON JR. SALAVERRY,SURQUILLO,2032,Repsol,4,8,0,6,0,0,0,0,0,1,"-12.108463, -77.018329",
,6826,REPSOL COMERCIAL S.A.C,20503840121,AV. RAUL FERRERO N° 1313B CON CALLE LAS RETAMAS URB. LOS SIRIUS I ETAPA,LA MOLINA,2029,,,,,,,,,,,,,
,15731,ESTACION DE SERVICIOS BOLIVAR S.A.,20100079179,AV. SANTIAGO DE SURCO Nº 4420,SANTIAGO DE SURCO,2008,,,,,,,,,,,,,
DUC,9488,JANEDUS TRADING S.A.C.,20289426486,"AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI",BARRANCO,976,Primax,0,0,0,4,0,0,0,1,1,0,"-12.142775, -77.017965",
,17952,NEGOCIACION KIO S.A.C.,20512081372,CARRETERA PANAMERICANA SUR KM. 25.62,LURIN,1995,,,,,,,,,,,,,
,6873,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. SAN JUAN N° 112, URB. SANTA TERESA",SANTIAGO DE SURCO,1995,,,,,,,,,,,,,
DUC,6818,COMPAÑIA DE PETROLEO SHELL DEL PERU S.A. (COESTI S.A.  ),20127765279,AV. BENAVIDES ESQUINA CON LA AV. REPUBLICA DE PANAMA,MIRAFLORES,3015,Primax,2,6,1,8,1,0,0,1,1,1,"-12.126073, -77.018569",
DUC,9220,REPSOL COMERCIAL S.A.C,20503840121,AV. ANDRES ARAMBURU N 904 - 908,SURQUILLO,3011,Repsol,0,4,0,4,0,0,0,1,0,1,"-12.102437, -77.020971",
DU,8586,COESTI S.A.,20127765279,AV. LA PAZ N° 915. ESQ. CON CALLE INCLAN,SAN MIGUEL,1979,Primax,2,0,1,4,0,1,1,1,0,,"-12.086534, -77.091557",
,16775,REPSOL COMERCIAL S.A.C.,20503840121,AV. NICOLAS AYLLON Nº 1912,ATE,1959,,,,,,,,,,,,,
,16803,COESTI S.A.,20127765279,AV JAVIER PRADO N° 2504 ESQUINA CALLE FLORA TRISTAN,MAGDALENA DEL MAR,1958,,,,,,,,,,,,,
,16805,COESTI S.A.,20127765279,ESQ. AV. TOMAS MARSANO Y LOS PROCERES,SANTIAGO DE SURCO,1944,,,,,,,,,,,,,
,8583,PETROSUR S.A.C.,20291490388,CARRETERA PANAMERICANA SUR KM. 19.5,VILLA EL SALVADOR,1942,,,,,,,,,,,,,
DU,9012,WO S.A.,20335757697,AV. GUILLERMO PRESCOTT Nº 202 ESQ. CALLE BARCELONA,SAN ISIDRO,1936,Repsol,0,0,0,4,0,1,1,1,1,,"-12.091332, -77.047585",
MC,16143,SERVICENTRO ALASPE S.A - COOP DE SERV ESP ALAS PERUANAS,20101259448,"ESQ. DE  LA  AV. VENEZUELA Nº 3343 CON JR.  ARISTIDES DEL CARPIO, URB. INDUSTRIAL PALOMINO",LIMA,1930,Independiente,2,6,1,4,0,1,1,0,0,si,"-12.060069, -77.077115",
DU,18831,ABA SINGER  & CIA. S.A.C.,20100032881,AV. CUBA CDRA. 12 Y JR. HUASCAR,JESUS MARIA,584,Aba Singer,0,0,0,4,0,0,0,0,0,,"-12.075106, -77.047029",
,9577,REPSOL COMERCIAL S.A.C.,20503840121,AV. LA MOLINA N° 1310 (EX AV. LA UNIVERSIDAD N° 210),LA MOLINA,1925,,,,,,,,,,,,,
,38507,ESTACION PACHACUTEC S.A.C.,20507458999,AV. DEFENSORES DE LIMA Y JR. TORRES PAZ PAMPLONA BAJA,SAN JUAN DE MIRAFLORES,1917,,,,,,,,,,,,,
DUC,8035,BRATA S.R.LTDA.,20207162826,AV. JAVIER PRADO ESTE N° 3095 ESQUINA CON AV. AGUSTÍN DE LA ROSA TORO URB. JACARANDA II,SAN BORJA,2320,Repsol,4,8,0,6,0,0,0,1,1,1,"-12.085991, -76.993140",
,83761,INVERSIONES PICORP S.A.C.,20428254687,"AV LOS CISNES SUB LOTE 2, PARCELA PARAISO ESQ AV. RAMIRO PRIALE",LURIGANCHO,1914,,,,,,,,,,,,,
,21358,COESTI S.A.,20127765279,"PANAMERICANA SUR KM. 30 - PARCELA B21, PARCELA B21 A1, EX FUNDO SAN PEDRO",LURIN,1913,,,,,,,,,,,,,
,38208,INVERSIONES SATELITE S.A.C.,20504968058,AV. PEDRO MIOTTA N° 800-810 Y AV. BELISARIO SUAREZ,SAN JUAN DE MIRAFLORES,1905,,,,,,,,,,,,,
,7282,GRIFO SANTO DOMINGO DE GUZMAN S.R.L.,20138645607,"AV. RAMIRO PRIALE COD. PREDIO/PARCELA L, SUBLOTE 28-B, SUB LOTE 23-A DE LA ASOCIACION DIGNIDAD NACIONAL CON FRENTE AL SUBLOTE 23-D ( CARRETERA RAMIRO",LURIGANCHO,1899,,,,,,,,,,,,,
DU,8539,REPSOL COMERCIAL S.A.C.,20503840121,AV. LA MARINA N° 2530,SAN MIGUEL,1899,Repsol,0,0,0,8,0,0,0,1,1,,"-12.077591, -77.089891",
DUC,6818,COESTI S.A.,20127765279,AV. BENAVIDES ESQUINA CON LA AV. REPUBLICA DE PANAMA,MIRAFLORES,428,Primax,2,6,1,8,1,0,0,1,1,1,"-12.126073, -77.018569",
,19982,REPSOL COMERCIAL S.A.C.,20503840121,AV. UNIVERSITARIA NORTE N° 2901,SAN MARTIN DE PORRES,1881,,,,,,,,,,,,,
,7247,REPSOL COMERCIAL S.A.C.,20503840121,AV. LA MOLINA N° 2880 URB. EL SAUCE DE LA RINCONADA,LA MOLINA,1873,,,,,,,,,,,,,
MC,16671,BEMCHO S.A.C.,20522958078,"CALLE SARGENTO VILLAR N° 308, 316, 318. ESQ. CON AV. PETIT THOUARS - URB. SANTA BEATRIZ",LIMA,1866,Primax,2,0,0,4,0,1,0,1,1,no,"-12.076681, -77.034312",
VM,18819,REPSOL COMERCIAL S.A.C.,20503840121,AV. PASEO DE LA REPUBLICA N° 301,LA VICTORIA,1866,Repsol,0,0,1,12,0,0,0,1,0,1,"-12.060288, -77.035132",
,16641,REPSOL COMERCIAL S.A.C.,20503840121,AV. TOMAS MARSANO ESQUINA CON AV. LOS PROCERES,SANTIAGO DE SURCO,1863,,,,,,,,,,,,,
VM,7075,ZPV S.A.,20122386229,AV. MEXICO Nº 210,LA VICTORIA,1857,,,,,,,,,,,,,"Revisar, existen dos grifos aledaños"
DUC,7039,A.B.G. S.A.C.,20100100551,AV. ANGAMOS OESTE N° 1685,MIRAFLORES,553,Petroperú,0,0,0,2,0,0,0,1,0,0,"-12.110759, -77.046337",
,14622,REPSOL COMERCIAL S.A.C,20503840121,AV. EVITAMIENTO 1904 MZ B LOTES 1-6 URB. LOS PARQUES DE MONTERRICO,ATE,1846,,,,,,,,,,,,,
MC,18881,ENERGIGAS S.A.C,20506151547,AV. VENEZUELA N° 2180 ESQ. CON EL JR. YUNGAY,LIMA,1842,Independiente,4,8,0,4,0,0,1,1,1,si,"-12.056362, -77.062517",
DUC,7039,REPSOL COMERCIAL S.A.C.,20503840121,AV. ANGAMOS OESTE N° 1685,MIRAFLORES,230,Repsol,0,0,0,2,0,0,0,1,0,0,"-12.110759, -77.046337",
DU,19984,REPSOL COMERCIAL S.A.C.,20503840121,AV. ELMER FAUCETT N° 477-481 URB. MARANGA,SAN MIGUEL,1822,Repsol,0,0,1,4,0,1,1,1,1,,"-12.064982, -77.097501",
